Loyalty Number,Male_Enc,Education_Enc,Marital_Enc,Card_Enc,Salary_Imputed,Salary_Was_Imputed,CLV,Tenure,Promo_Enroll,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Avg_Flights_Month,Max_Flights_Month,Active_Months,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight_at_cutoff,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4,Flights_H1,Flights_H2,Flights_Trend,Churn,Formal_Churn,Behavioral_Churn,Never_Flew
480934,0,2,1,0,83236.0,False,3839.14,1,0,18,25352,25352.0,322,1.5,4,7,0.3888867284070644,0.012701167510645442,1408.4366197965567,0.0,1.0,8.0,6.0,3.0,9,9,0,0,0,0,0
549612,1,1,2,0,73510.0,True,3839.61,1,0,31,36136,36136.0,787,2.5833333333333335,5,8,0.25806368366553656,0.021778835450025364,1165.6736591172287,1.0,10.0,5.0,9.0,7.0,15,16,1,0,0,0,0
429460,1,1,0,0,73510.0,True,3839.75,3,0,16,22957,22957.0,374,1.3333333333333333,4,7,0.43749726564208974,0.016291327193050802,1434.803532477922,1.0,5.0,4.0,5.0,2.0,9,7,-2,1,1,1,0
608370,1,1,0,0,73510.0,True,3839.75,4,0,24,33369,33369.0,864,2.0,5,9,0.3749984375065104,0.025892295166494966,1390.3692067949717,0.0,8.0,10.0,3.0,3.0,18,6,-12,0,0,0,0
530508,1,2,1,0,103495.0,False,3842.79,3,0,11,19886,19886.0,0,0.9166666666666666,4,4,0.363633057881292,0.0,1807.801747256843,1.0,3.0,2.0,4.0,2.0,5,6,1,0,0,0,0
193662,1,2,1,0,51124.0,False,3844.57,5,0,52,84718,84718.0,854,2.1666666666666665,6,19,0.3653839127232447,0.010080502360678366,1629.1891746362026,0.0,3.0,20.0,17.0,12.0,23,29,6,0,0,0,0
927943,0,1,0,0,73510.0,True,3857.95,3,0,16,21692,21692.0,1174,1.3333333333333333,6,6,0.37499765626464837,0.05412133480489888,1355.7415266154587,1.0,3.0,8.0,1.0,4.0,11,5,-6,0,0,0,0
188893,1,2,1,0,100159.0,False,3861.49,1,0,23,42235,42235.0,334,1.9166666666666667,5,8,0.3478245746757623,0.007908133046269366,1836.2963639288525,1.0,7.0,10.0,1.0,5.0,17,6,-11,0,0,0,0
852392,0,2,1,0,100159.0,False,3861.49,2,0,20,36504,36504.0,990,1.6666666666666667,5,7,0.34999825000874996,0.02712031550755995,1825.1908740456297,0.0,6.0,9.0,3.0,2.0,15,5,-10,0,0,0,0
866307,1,2,1,0,100159.0,False,3861.49,1,0,23,28135,28135.0,1057,1.9166666666666667,5,7,0.304346502841292,0.03756886427023684,1223.2555510628215,1.0,7.0,12.0,0.0,4.0,19,4,-15,0,0,0,0
932823,0,2,1,0,66444.0,False,3863.31,2,0,25,45739,45739.0,499,2.0833333333333335,4,9,0.35999856000575997,0.010909726905026942,1829.5526817892728,0.0,5.0,3.0,8.0,9.0,8,17,9,0,0,0,0
144514,0,2,1,0,49618.0,False,3864.78,1,0,12,16970,16970.0,0,1.0,3,5,0.4166631944733794,0.0,1414.1548820426497,0.0,3.0,0.0,5.0,4.0,3,9,6,0,0,0,0
