Loyalty Number,Segment,Cluster,CLV,CLV_Tier,Churn_Probability,Risk_Tier,Formal_Churn,Behavioral_Churn,Never_Flew,Total_Flights,Activity_Rate,Flights_Trend,Months_Since_Last_Flight_at_cutoff,Redemption_Ratio,Tenure,Salary_Imputed,Card_Enc,Education_Enc,Marital_Enc
480934,New & Volatile,2,3839.14,Standard,0.318543144584246,Stable,0,0,0,18,0.3888867284070644,0,0.0,0.0127011675106454,1,83236.0,0,2,1
549612,Loyal Core,1,3839.61,Standard,0.3263199713266931,Stable,0,0,0,31,0.2580636836655365,1,1.0,0.0217788354500253,1,73510.0,0,1,2
429460,Loyal Core,1,3839.75,Standard,0.3182941400163305,Stable,1,1,0,16,0.4374972656420897,-2,1.0,0.0162913271930508,3,73510.0,0,1,0
608370,Loyal Core,1,3839.75,Standard,0.3191899409213317,Stable,0,0,0,24,0.3749984375065104,-12,0.0,0.0258922951664949,4,73510.0,0,1,0
530508,Loyal Core,1,3842.79,Standard,0.3497837874652866,Stable,0,0,0,11,0.363633057881292,1,1.0,0.0,3,103495.0,0,2,1
193662,Loyal Core,1,3844.57,Standard,0.3160231333538519,Stable,0,0,0,52,0.3653839127232447,6,0.0,0.0100805023606783,5,51124.0,0,2,1
927943,Reward Maximizers,3,3857.95,Standard,0.31083924992473,Stable,0,0,0,16,0.3749976562646483,-6,1.0,0.0541213348048988,3,73510.0,0,1,0
188893,Loyal Core,1,3861.49,Standard,0.3237383954626808,Stable,0,0,0,23,0.3478245746757623,-11,1.0,0.0079081330462693,1,100159.0,0,2,1
852392,Loyal Core,1,3861.49,Standard,0.3258473016408555,Stable,0,0,0,20,0.3499982500087499,-10,0.0,0.0271203155075599,2,100159.0,0,2,1
866307,Loyal Core,1,3861.49,Standard,0.3159001485668025,Stable,0,0,0,23,0.304346502841292,-15,1.0,0.0375688642702368,1,100159.0,0,2,1
932823,New & Volatile,2,3863.31,Standard,0.3223801407768847,Stable,0,0,0,25,0.3599985600057599,9,0.0,0.0109097269050269,2,66444.0,0,2,1
144514,New & Volatile,2,3864.78,Standard,0.3567606486511006,Watch,0,0,0,12,0.4166631944733794,6,0.0,0.0,1,49618.0,0,2,1
988178,Loyal Core,1,3871.07,Standard,0.3197610170750444,Stable,0,0,0,38,0.3157886426614666,-8,0.0,0.0123432103029572,4,73510.0,0,1,0
286114,Reward Maximizers,3,3872.22,Standard,0.3411456381485498,Stable,0,0,0,14,0.4285683673688045,8,0.0,0.0605761228131441,1,73510.0,0,1,0
205785,New & Volatile,2,3873.65,Standard,0.324915340859955,Stable,0,0,0,27,0.3333320987700046,5,0.0,0.0301976438730434,1,128118.0,0,3,1
735304,Reward Maximizers,3,3873.65,Standard,0.3551857864922343,Watch,0,0,0,9,0.6666592593415629,3,0.0,0.0376890649783717,1,128118.0,0,3,1
438936,Loyal Core,1,3878.77,Standard,0.3148686846844264,Stable,0,0,0,29,0.3103437574353191,1,0.0,0.0,4,94092.0,0,2,1
354730,Loyal Core,1,3885.46,Standard,0.3260013527579568,Stable,1,1,0,20,0.3999980000099999,-2,1.0,0.0,3,73510.0,0,1,1
413741,Loyal Core,1,3885.46,Standard,0.3383916399577733,Stable,0,0,0,22,0.3636347107513147,6,1.0,0.0331967791279446,2,73510.0,0,1,1
642313,Reward Maximizers,3,3885.46,Standard,0.3202145834894278,Stable,0,1,0,19,0.4210504155241288,1,0.0,0.0646851642269342,1,73510.0,0,1,1
263080,Loyal Core,1,3886.5,Standard,0.3700137365217701,Watch,0,0,0,14,0.2857122449125363,-2,2.0,0.0,3,73510.0,0,1,0
109767,Reward Maximizers,3,3886.65,Standard,0.3117836172997023,Stable,0,0,0,19,0.5789443213456771,1,0.0,0.0368874786498494,1,89062.0,0,2,0
217754,Loyal Core,1,3887.32,Standard,0.3420982904318975,Stable,0,0,0,20,0.3499982500087499,-2,4.0,0.0,2,102400.0,0,2,0
157005,Loyal Core,1,3890.87,Standard,0.3219860251901528,Stable,0,0,0,28,0.3928557398009293,-2,1.0,0.0,1,98629.0,0,2,1
557752,New & Volatile,2,3890.87,Standard,0.6941268891764649,High Risk,0,0,0,5,0.1999960000799984,5,0.0,0.0,0,98629.0,0,2,1
608758,Loyal Core,1,3890.96,Standard,0.3113294446043606,Stable,0,0,0,13,0.5384573964815655,1,0.0,0.0,4,63795.0,0,2,1
599341,Loyal Core,1,3891.54,Standard,0.3483310748757201,Stable,0,0,0,37,0.3243234477744654,13,0.0,0.0143206782810514,2,54890.0,0,2,1
333502,New & Volatile,2,3891.58,Standard,0.374156554236047,Watch,0,0,0,14,0.2857122449125363,8,1.0,0.0,3,73510.0,0,1,1
403361,New & Volatile,2,3895.03,Standard,0.6818065323896634,High Risk,0,0,0,3,0.3333222225925802,3,1.0,0.0,0,70222.0,0,2,0
543918,Loyal Core,1,3896.57,Standard,0.3216727009924735,Stable,0,0,0,30,0.3333322222259259,8,0.0,0.0473975477138553,5,40736.0,0,0,1
119200,New & Volatile,2,3903.8,Standard,0.40859002928852,Watch,0,0,0,10,0.3999960000399996,0,0.0,0.0,0,69835.0,0,2,2
238119,Loyal Core,1,3906.67,Standard,0.3129521682010763,Stable,0,0,0,25,0.31999872000512,1,0.0,0.0,4,75980.0,0,2,1
730388,Loyal Core,1,3907.03,Standard,0.3056273084273611,Stable,0,0,0,23,0.3478245746757623,3,0.0,0.0,5,73510.0,0,1,0
127400,Reward Maximizers,3,3914.72,Standard,0.3643634932091903,Watch,0,0,0,13,0.384612426058261,7,0.0,0.0349715191749137,3,73510.0,0,1,0
324557,Loyal Core,1,3914.72,Standard,0.3131223779855576,Stable,0,0,0,16,0.4999968750195311,8,1.0,0.024899629304742,4,73510.0,0,1,0
742002,Loyal Core,1,3915.8,Standard,0.3342727916425497,Stable,0,0,0,13,0.3076899408466089,-5,2.0,0.0,1,73510.0,0,1,0
536567,New & Volatile,2,3919.37,Standard,0.3319780936055468,Stable,0,0,0,23,0.304346502841292,15,0.0,0.0,1,80697.0,0,2,1
704835,New & Volatile,2,3919.37,Standard,0.3137357264101855,Stable,0,0,0,18,0.3888867284070644,6,0.0,0.0363959331932577,1,80697.0,0,2,1
612905,New & Volatile,2,3920.51,Standard,0.3117047843608197,Stable,0,0,0,17,0.411762283751272,5,1.0,0.0212123470727246,2,73510.0,0,1,1
679908,Loyal Core,1,3921.02,Standard,0.3134174409335625,Stable,0,0,0,24,0.3749984375065104,-10,1.0,0.0135793694766755,2,77601.0,0,2,1
704150,Loyal Core,1,3921.02,Standard,0.3068195980118232,Stable,0,0,0,19,0.4210504155241288,-7,0.0,0.0172829071739577,3,77601.0,0,2,1
596179,Loyal Core,1,3933.81,Standard,0.3281795223840967,Stable,0,0,0,30,0.2999990000033333,-12,2.0,0.0,3,50879.0,0,2,0
370450,Reward Maximizers,3,3934.1,Standard,0.3202528110052438,Stable,0,0,0,16,0.3749976562646483,2,0.0,0.0671330026856455,5,62160.0,0,0,1
501030,New & Volatile,2,3934.71,Standard,0.3715829627076181,Watch,0,0,0,17,0.411762283751272,9,0.0,0.0,0,93541.0,0,2,1
878633,Loyal Core,1,3936.79,Standard,0.3237698981314871,Stable,0,0,0,27,0.2592582990433368,-7,0.0,0.0,4,163974.0,0,4,1
285938,Loyal Core,1,3939.01,Standard,0.3097252338101754,Stable,0,0,0,22,0.3636347107513147,0,0.0,0.0,3,75827.0,0,2,1
588237,Loyal Core,1,3939.01,Standard,0.3155051423505284,Stable,0,0,0,23,0.3478245746757623,-5,1.0,0.0409310839068432,4,75827.0,0,2,1
