Loyalty Number,CLV,Churn_Probability,Risk_Tier,Churn_x,Segment_ID,Segment_Name
480934,3839.14,0.0036969727,Low,0,1,Frequent Flyers
549612,3839.61,0.0017043321,Low,0,1,Frequent Flyers
429460,3839.75,0.9998596,High,1,2,At-Risk Inactives
608370,3839.75,0.00430096,Low,0,1,Frequent Flyers
530508,3842.79,0.0005325952,Low,0,0,Emerging Loyalists
193662,3844.57,0.00061999436,Low,0,1,Frequent Flyers
927943,3857.95,0.006266876,Low,0,1,Frequent Flyers
188893,3861.49,0.021019325,Low,0,1,Frequent Flyers
852392,3861.49,0.42289534,Medium,0,1,Frequent Flyers
866307,3861.49,0.032956675,Low,0,1,Frequent Flyers
932823,3863.31,0.00698178,Low,0,1,Frequent Flyers
144514,3864.78,0.013390593,Low,0,1,Frequent Flyers
611765,3867.97,0.0016239702,Low,0,0,Emerging Loyalists
988178,3871.07,0.0017997555,Low,0,1,Frequent Flyers
286114,3872.22,0.031693343,Low,0,1,Frequent Flyers
205785,3873.65,0.0013484688,Low,0,1,Frequent Flyers
735304,3873.65,0.00024729583,Low,0,0,Emerging Loyalists
438936,3878.77,0.0027845227,Low,0,1,Frequent Flyers
354730,3885.46,0.99954945,High,1,2,At-Risk Inactives
413741,3885.46,0.19986646,Low,0,1,Frequent Flyers
552965,3885.46,0.0009774356,Low,0,0,Emerging Loyalists
642313,3885.46,0.9996068,High,1,1,Frequent Flyers
263080,3886.5,0.001086409,Low,0,1,Frequent Flyers
109767,3886.65,0.0005589078,Low,0,1,Frequent Flyers
217754,3887.32,0.009992416,Low,0,1,Frequent Flyers
157005,3890.87,0.06265678,Low,0,1,Frequent Flyers
557752,3890.87,0.00041105325,Low,0,0,Emerging Loyalists
608758,3890.96,0.0066051474,Low,0,1,Frequent Flyers
599341,3891.54,0.0008123318,Low,0,1,Frequent Flyers
333502,3891.58,0.0016915471,Low,0,1,Frequent Flyers
403361,3895.03,0.10226646,Low,0,0,Emerging Loyalists
543918,3896.57,9.980252e-05,Low,0,1,Frequent Flyers
806030,3903.47,0.0009623781,Low,0,0,Emerging Loyalists
119200,3903.8,0.0142959375,Low,0,0,Emerging Loyalists
238119,3906.67,0.0025915315,Low,0,1,Frequent Flyers
730388,3907.03,0.001078789,Low,0,1,Frequent Flyers
127400,3914.72,0.022313038,Low,0,1,Frequent Flyers
324557,3914.72,0.0014391451,Low,0,1,Frequent Flyers
742002,3915.8,0.0071525346,Low,0,1,Frequent Flyers
536567,3919.37,0.00054440444,Low,0,1,Frequent Flyers
704835,3919.37,0.032159828,Low,0,1,Frequent Flyers
733338,3919.37,0.9998654,High,1,2,At-Risk Inactives
758635,3919.37,0.0025295971,Low,0,0,Emerging Loyalists
823048,3919.37,0.056988508,Low,0,0,Emerging Loyalists
612905,3920.51,0.0019164298,Low,0,1,Frequent Flyers
679908,3921.02,0.0068697874,Low,0,1,Frequent Flyers
704150,3921.02,0.0010660767,Low,0,1,Frequent Flyers
869743,3924.42,0.9996455,High,1,2,At-Risk Inactives
596179,3933.81,0.01474654,Low,0,1,Frequent Flyers
370450,3934.1,0.00095101673,Low,0,1,Frequent Flyers
501030,3934.71,0.0011348185,Low,0,1,Frequent Flyers
878633,3936.79,0.00035398267,Low,0,1,Frequent Flyers
285938,3939.01,0.16279763,Low,0,1,Frequent Flyers
588237,3939.01,0.044881567,Low,0,1,Frequent Flyers
645280,3939.01,0.0029771533,Low,0,1,Frequent Flyers
864324,3939.01,0.01621201,Low,0,1,Frequent Flyers
124678,3954.34,0.0074936524,Low,0,1,Frequent Flyers
186015,3954.34,0.0015559825,Low,0,1,Frequent Flyers
461108,3954.34,0.00095299585,Low,0,0,Emerging Loyalists
589580,3954.34,0.0017461635,Low,0,1,Frequent Flyers
623688,3954.34,0.0014600952,Low,0,1,Frequent Flyers
256147,3958.0,0.0009060372,Low,0,1,Frequent Flyers
140392,3963.39,0.0035310676,Low,0,1,Frequent Flyers
230908,3964.15,0.0006701611,Low,0,1,Frequent Flyers
972581,3964.53,0.0007012395,Low,0,1,Frequent Flyers
910875,3966.13,0.00063836615,Low,0,0,Emerging Loyalists
501704,3974.86,0.0029824162,Low,0,1,Frequent Flyers
529098,3974.86,0.0013507901,Low,0,0,Emerging Loyalists
265297,3978.67,0.0021183619,Low,0,0,Emerging Loyalists
567875,3979.72,0.0011868825,Low,0,0,Emerging Loyalists
688524,3980.42,0.00024586852,Low,0,0,Emerging Loyalists
269070,3985.32,0.0003306337,Low,0,1,Frequent Flyers
387705,3985.32,0.021822246,Low,0,1,Frequent Flyers
923293,3985.55,0.0079704095,Low,0,1,Frequent Flyers
789157,3995.36,0.044252012,Low,0,0,Emerging Loyalists
654748,3996.77,0.9998319,High,1,2,At-Risk Inactives
984713,3997.48,0.042168476,Low,0,0,Emerging Loyalists
114835,4001.52,0.00170553,Low,0,0,Emerging Loyalists
328936,4005.72,0.24300978,Low,0,1,Frequent Flyers
845864,4013.85,0.0014057953,Low,0,1,Frequent Flyers
645265,4013.95,0.00062167423,Low,0,1,Frequent Flyers
223587,4013.96,0.0014827676,Low,0,0,Emerging Loyalists
158560,4014.45,0.006008384,Low,0,1,Frequent Flyers
417584,4014.45,0.04604713,Low,0,1,Frequent Flyers
425854,4016.13,0.9995086,High,1,1,Frequent Flyers
695855,4019.38,0.000720114,Low,0,1,Frequent Flyers
699511,4019.38,0.02726572,Low,0,1,Frequent Flyers
377322,4023.81,0.0068197707,Low,0,1,Frequent Flyers
511053,4023.81,0.001821815,Low,0,1,Frequent Flyers
890753,4025.1,0.033253744,Low,0,0,Emerging Loyalists
796670,4035.68,0.00927443,Low,0,1,Frequent Flyers
556136,4035.77,0.0020798726,Low,0,1,Frequent Flyers
513081,4037.5,0.00019108299,Low,0,1,Frequent Flyers
930718,4037.55,0.04331916,Low,0,1,Frequent Flyers
235872,4046.94,0.0013716056,Low,0,1,Frequent Flyers
881142,4046.94,0.9997954,High,1,2,At-Risk Inactives
295147,4048.16,0.04483315,Low,0,1,Frequent Flyers
306110,4053.37,0.0013543597,Low,0,0,Emerging Loyalists
295217,4059.57,0.14153911,Low,0,0,Emerging Loyalists
591731,4064.18,0.00062820775,Low,0,1,Frequent Flyers
326905,4068.09,0.03217593,Low,0,1,Frequent Flyers
375511,4070.05,0.007823336,Low,0,1,Frequent Flyers
485283,4072.85,0.0012400894,Low,0,0,Emerging Loyalists
797685,4079.13,0.003732763,Low,0,0,Emerging Loyalists
216467,4083.56,0.0028879382,Low,0,1,Frequent Flyers
958839,4083.56,0.10439,Low,0,0,Emerging Loyalists
539673,4087.51,0.9980756,High,1,2,At-Risk Inactives
746226,4089.04,0.011454534,Low,0,0,Emerging Loyalists
484718,4089.46,0.00064375554,Low,0,1,Frequent Flyers
528492,4090.75,0.022577291,Low,1,1,Frequent Flyers
995091,4095.2,0.00097525655,Low,0,0,Emerging Loyalists
632793,4097.37,0.00062342605,Low,0,1,Frequent Flyers
382197,4100.47,0.99995303,High,1,0,Emerging Loyalists
705196,4101.94,0.00088690914,Low,0,1,Frequent Flyers
123094,4103.85,0.0048971777,Low,0,0,Emerging Loyalists
119488,4108.26,0.0022617576,Low,0,1,Frequent Flyers
287750,4109.31,0.0049571926,Low,0,1,Frequent Flyers
735846,4109.79,0.00019448,Low,0,0,Emerging Loyalists
606026,4110.62,0.0049209013,Low,0,1,Frequent Flyers
460291,4111.2,0.0006586836,Low,0,1,Frequent Flyers
743001,4111.89,0.0021206592,Low,0,0,Emerging Loyalists
869799,4111.89,0.07534112,Low,0,0,Emerging Loyalists
279419,4117.37,0.0010641827,Low,0,1,Frequent Flyers
